first floor|一楼
second floor|二楼
teachers’ office|教师办公室
library|图书馆
playground|操场
computer room|计算机房
art room|美术教室
music room|音乐教室
next to|紧邻
homework|作业
class|班；班级
forty|四十
way|方向
breakfast|早餐；早饭
English class|英语课
lunch|午餐；午饭
music class|音乐课
PE class|体育课
dinner|正餐
get up|起床
go to school|去上学
go home|回家
go to bed|上床睡觉
over|结束
now|现在；目前
o’clock|（表示整点）……点钟
kid|小孩
thirty|三十
hurry up|快点
come on|快；加油
just a minute|稍等一会儿
cold|寒冷的；冷的
cool|凉的；凉爽的
warm|温暖的；暖和的
hot|热的；烫的
sunny|阳光充足的
windy|多风的；风大的
cloudy|阴天的；多云的
snowy|下雪（多）的
rainy|阴雨的；多雨的
outside|在户外
be careful|小心
weather|天气
New York|纽约
how about|……怎么样？……情况如何？
degree|度；度数
world|世界
London|伦敦
Moscow|莫斯科
Singapore|新加坡
Sydney|悉尼
fly|放（风筝等）
love|爱你的
tomato|西红柿
potato|马铃薯；土豆
green beans|豆角；四季豆
carrot|胡萝卜
horse|马
cow|母牛；奶牛
sheep|羊；绵羊
hen|母鸡
these|这些
yum|味道很好
animal|动物
those|那些
garden|花园；菜园
farm|农场
goat|山羊
eat|吃
clothes|衣服；服装
pants|裤子
hat|帽子
dress|连衣裙
skirt|女裙
coat|外衣；大衣
sweater|毛衣
sock|短袜
shorts|短裤
jacket|夹克衫
shirt|（尤指男士）衬衫
yours|你的；你们的
whose|谁的
mine|我的
pack|收拾（行李）
wait|等待
glove|（分手指的）手套
scarf|围巾；披巾
umbrella|伞；雨伞
sunglasses|太阳镜
pretty|美观的；精致的
expensive|昂贵的；花钱多的
cheap|花钱少的；便宜的
nice|好的
try on|试穿
size|尺码；号
of course|当然
too|太；过于
just|正好；恰好
how much|多少钱
eighty|八十
dollar|元
sale|特价销售；大减价
more|更多的
us|我们
