old|老的；年纪大的
young|年轻的；岁数小的
funny|滑稽的；好笑的
kind|体贴的；慈祥的；宽容的
strict|要求严格的；严厉的
polite|有礼貌的；客气的
hard-working|努力工作的；勤劳的
helpful|有用的；愿意帮忙的
clever|聪明的；聪颖的
shy|羞怯的；腼腆的；怕生的
know|知道；了解
our|我们的
Ms|女士
will|将要
sometimes|有时；间或
robot|机器人
him|他
speak|会讲；说话
finish|完成；做好
Monday|星期一
Tuesday|星期二
Wednesday|星期三
Thursday|星期四
Friday|星期五
Saturday|星期六
Sunday|星期日
weekend|周末
wash|洗
wash my clothes|洗我的衣服
watch|看
watch TV|看电视
do|做；干
do homework|做作业
read|看；读
read books|看书
play|踢；玩；参加（体育运动）
play football|踢足球
cooking|烹饪；烹调
often|时常；常常
park|公园
tired|疲倦的
sport|体育运动
play sports|做体育运动
should|应该；应当
every|每一个；每个
day|一天；一日
schedule|工作计划；日程安排
sandwich|三明治
salad|蔬菜色拉；混合色拉
hamburger|汉堡包
ice cream|冰淇淋
tea|茶；茶水
fresh|新鲜的；刚摘的
healthy|健康的
delicious|美味的；可口的
hot|辣的；辛辣的
sweet|含糖的；甜的
drink|喝；饮
thirsty|渴的；口渴的
favourite|特别喜爱的
food|食物
Dear|亲爱的
onion|洋葱；葱头
sing|唱；唱歌
song|歌曲
sing English songs|唱英文歌
play the pipa|弹琵琶
kung fu|功夫；武术
do kung fu|练武术
dance|跳舞
draw|画
cartoon|漫画
draw cartoons|画漫画
cook|烹调；烹饪
swim|游泳
play basketball|打篮球
ping-pong|乒乓球
play ping-pong|打乒乓球
speak English|说英语
we’ll|我们将……
party|聚会；派对
next|下一个的；紧接着的；接下来的
wonderful|极好的；了不起的
learn|学；学习；学会
any|任何的；任一的
problem|问题
no problem|没问题
want|要；想要
send|邮寄；发送
email|电子邮件
at|在
clock|时钟；钟
plant|植物
bottle|瓶子
water bottle|水瓶
bike|自行车；脚踏车
photo|照片；相片
front|前面，正面
in front of|在...前面
between|在...之间
above|在/向…上方
beside|在…旁边/附近
behind|在/向…后面
there|表示存在或发生
grandparent|祖父/祖母；外祖父/外祖母
their|他们的，她们的，它们的
house|房屋；房子；住宅
lot|大量；许多
lots of|大量；许多
flower|花；花朵
move|搬家
dirty|肮脏的
everywhere|处处；到处
mouse|老鼠
live|居住
nature|自然界；大自然
forest|森林；林区
river|河；江
lake|湖；湖泊
mountain|高山；山岳
hill|山丘；小山
tree|树；树木；乔木
bridge|桥
building|建筑物；房子；楼房
village|村庄；村镇
house|房屋；房子；住宅
boating|划船
go boating|去划船
aren’t|不是
rabbit|兔；野兔
high|高的
