good|好的
morning|早晨；上午
Good morning!|||早上好！
hi|(用于打招呼)嗨；喂
hello|你好；喂
afternoon|下午
Good afternoon!||下午好！
evening|晚上；傍晚
Good evening!||晚上好！
how|怎样；如何
are|是
you|你；你们
How are you?|||你好吗？
I|我
am|是
fine|健康的；美好的
thanks|感谢；谢谢
OK|好；可以

what|什么
is|是
this|这；这个
in|(表示使用语言、材料等)用；以
English|英格兰的；英语的
in English|||用英语
map|地图
cup|杯子
ruler|尺；直尺
pen|笔；钢笔
orange|橙子
jacket|夹克衫；短上衣
key|钥匙
quilt|被子；床罩
it|它
a|(用于单数可数名词前)一(人、事、物)
that|那；那个
spell|用字母拼；拼写
please|(用于客气地请求或吩咐)请

color|颜色
red|红色（的）
yellow|黄色（的）
green|绿色（的）
blue|蓝色（的）
black|黑色（的）
white|白色（的）
purple|紫色（的）
brown|棕色（的）；褐色（的）
the|指已提到或易领会到的人或事
now|现在；目前
see|理解；明白
can|能；会
say|说；讲
my|我的
name|名字；名称
nice|令人愉快的；宜人的
to|常用于原形动词之前，该动词为不定式
meet|遇见；相逢
too|也；又；太
your|你的；你们的
his|他的
and|和；又；而
her|她的
yes|是的；可以
she|她
he|他
no|不；没有；不是
not|不；没有
zero|零
one|一
two|三
four|五
six|六
seven|七
eight|八
nine|九
telephone|电话；电话机
number|号码；数字
phone|电话；电话机
telephone number|电话号码
first|第一
first name|名字
last|最后的；末尾的
last name|姓
friend|朋友
China|中国
middle|中间的；中间
school|学校
middle school|中学；初中
sister|姐；妹
mother|母亲；妈妈
father|父亲；爸爸
parent|父（母）亲
brother|兄；弟
grandmother|（外）祖母；奶奶
grandfather|(外)祖父；爷爷；
grandparent|祖父（母）；
family|家；家庭
those|那些
who|谁；什么人
oh|哦；啊
these|这些
they|他（她、它）们
well|嗯；好吧
have|经受；经历
Have a good day!|(表示祝愿)过得愉快！
bye|再见
son|儿子
cousin|堂兄（弟、姐、妹）；表兄
grandpa|（外）祖父；爷爷；外公
mom|(=mum)妈妈
aunt|姑母；姨母；伯母；婶母；舅母
grandma|（外）祖母；奶奶；外婆；
dad|爸爸
uncle|舅父；叔父；伯父；姑父；舅父
daughter|女儿
here|(用以介绍人或物)这就是；在这里
photo|照片
of|属于(人或物)；关于(人或物)
next|下一个（的）；接下来（的）
picture|照片；图画
girl|女孩
dog|狗

pencil|铅笔
book|书
eraser|橡皮
box|箱；盒
pencil box|铅笔盒；文具盒
schoolbag|书包
dictionary|词典；字典
his|他的
mine|我的
hers|她的
excuse|原谅；宽恕
me|(I的宾格)我
excuse me|劳驾；请原谅
thank|感谢；谢谢
teacher|老师；教师
about|关于
What about...? |询问消息或提出建议..怎么样？
yours|你的；你们的
for|为了；给；对
thank you for...|为......而感谢
help|帮助；援助
welcome|受欢迎的
You're welcome|别客气。
baseball|棒球
watch|表；手表
computer|计算机；电脑
game|游戏；运动；比赛
card|卡片
ID card|学生卡；身份证
notebook|笔记本
ring|戒指
bag|袋；包
in|在......里
library|图书馆
ask|请求；要求；询问
ask...for... |请求；恳求(给予)
find|(过去分词 found)找到；发现
some|一些；某些
classroom|教室
e-mail|电子邮件
at|按照；根据；在(某处、某时间时刻)
call|(给......)打电话
lost|(动词lose的过去式)遗失；丢失
must|必须
set|一套；一副；一组
a set of | 一套；一副；一组
where|在哪里；到哪里
table|桌子
bed|床
bookcase|书架；书柜
sofa|沙发
chair|椅子
on|在.......上
under|在.......下
come|来；来到
come on|快点儿
desk|书桌
think|认为；想；思考
room|房间
their|他（她、它）们的
hat|帽子
head|头
yeah|是的；对
know|知道；了解
radio|收音机；无线电广播
clock|时钟
tape|磁带；录音带；录像带
player|播放机
tape player|录音机
model|模型
plane|飞机
model plane|飞机模型
tidy|整洁的；井井有条的
but|但是
our|我们的
everywhere|处处；到处；各地
always|总是

do|用于否定句疑问句；做；干
have|有
tennis|网球
ball|球
ping-pong|乒乓球
bat|球棒；球拍
soccer|（英式）足球
soccer ball|(英式)足球
volleyball|排球
basketball|篮球
hey|嘿；喂
let|允许；让
us|(we的宾格)我们
let's | 让我们（一起）
go|去；走
we|我们
late|迟到
has|(have的第三人称单数形式)有
