anyone|任何人
anywhere|任何地方 任何(一个)地方
wonderful|精彩的；极好的
few|很少的；少量
quite a few|相当多；不少(后接可数名词)
most|最多的；大多数的；
something|某事物；
nothing|没有什么没有
everyone|每人；人人
of course|当然
myself|我自己
yourself|你自己；你亲自
hen|母鸡；雌禽
pig|猪
seem|似乎；好像
bored|无聊的；厌烦的；郁闷的
someone|某人；有人
diary|日记；日记簿
activity|活动；活跃
decide|决定；选定
try|尝试；设法；努力
paragliding|空中滑翔跳伞
feel like(doing )|想要
bird|鸟；禽
bicycle|自行车
building|建筑物
trader|商人；商船
wonder|惊奇；想知道；怀疑
difference|差异；不同
top|顶部；顶
wait|等；等待
umbrella|伞；雨伞
wet|湿的；雨天的
because of因为；由于
below|低于；在...下面在下面
enough|足够的足够地；充分地
hungry|饥饿的；渴望的
as|如同；像...一样
hill|小山；丘陵；斜坡；山冈
duck|鸭肉；鸭
dislike|不喜欢；厌恶 不喜爱；厌恶；反感
have a good time|玩得痛快
enjoy oneself|玩得痛快
have fun(doing )|玩得痛快
Central Park|中央公园
Huangguoshu waterfall|黄果树瀑布
Hangkong|香港
Malaysia|马来西亚
Georgetown|圭亚那乔治敦港口，美国乔治城大学
housework|家务劳动
hardly|几乎不；简直不；刚刚
ever|曾经；在任何时候
hardly ever|很少；几乎从不；难得
once|一次；曾经
twice|两倍；两次
Internet|因特网
program|节目；程序；课程；节目单
full|满的；充满的；完全的
swing|摇摆；秋千摇摆；旋转
swing dance|摇摆舞
maybe|或许；也许；可能
least|最小的；最少的
at least|至少
junk|垃圾；废旧杂物
junk food|垃圾食品；无营养食品
coffee|咖啡；咖啡色
health|健康；人的身体或精神状态
result|.结果；后果
percent|百分之...的
online|在线的在线地
television|电视机；电视节目
although|虽然；尽管；然而；可是
through|穿过；凭借；一直到
mind|.头脑；想法；意见；心思
body|身体
such|这样的；如此的
such as|例如；诸如
together|共同；一起
die|死；枯竭；消失
writer|作者；作家
dentist|牙科医生
magazine|杂志
however|然而；无论如何；不管多么
than|比
more than超过；多于；不仅仅；非常
almost|几乎；差不多
none|没有人；没有任何东西，毫无
less|更少的；较少的
less than|不到；少于
point|看法；要点；重点；小数点；目标；分数
outgoing|外向的
better|更好的；较好的 更好地
loudly|大声地；高声地；花俏地
quietly|安静地；悄悄地；平静地
hard-working|勤勉的；努力工作的
competition|竞争；比赛
fantastic|极好的；了不起的
which|哪一个；哪一些哪一个；哪些
clearly|清楚地；显然地
win|赢；赢得；获胜；获得胜利
though|虽然；尽管；不过
talented|有才能的；有天赋的
truly|真实地；真诚地；正确地
care|关心；担忧；照顾；在乎
care about|关心
serious|严肃的；严重的；庄重的
mirror|镜子；反映
kid 孩子，小孩
as long as|只要
necessary|必要的；必然的
be different from|和...不同
both|两者都两者
bring out|拿出；推出
grade|成绩
should|应该；可能；应当；将要
the same as|与...同样的
saying|名言
reach|到达；伸出；达成；取得联系；延伸；(伸手)去够
hand 援手
touch|触摸；感动
heart|心脏；内心
fact|事实；真相；实际
in fact|事实上；实际上；确切地说
break|打碎；折断；违背；解决；中断
arm|胳膊
laugh|发笑；笑；嘲笑 笑声；笑；笑料
share|分享，共享；分配；共有
loud|大声的；大声地；响亮地
similar|类似的
be similar to|类似于；与...相似
primary|最初的，最早的
primary school|小学
information|信息；情报；资料；通知
theater|剧场；电影院；戏院
comfortable|舒适的；充裕的
seat|座位；
screen|屏幕；银幕
close|关；合拢；不开放；停业
ticket|票
worst|最坏的；最差的
cheaply|廉价地；粗俗地
song|歌曲；歌唱
choose|选择；决定
carefully|小心地，认真地
reporter|记者
so far|到目前为止；迄今为止
fresh|新鲜的；清新的
comfortably|舒服地；容易地；充裕地
worse|更坏的；更差的
service|服务
pretty|相当地漂亮的
menu|菜单
act|行动；表演
meal|一餐；膳食
creative|创造的，创造性的；
performer|表演者；执行者
talent|天赋；才能，才艺；
common|常见的；共同的；普通的
have…in common|有相同特征
magician|魔术师；术士
all kinds of|各种各样；各种类型
beautifully|美丽地；完美地；
be up to|是…….的职责；由…….决定
role|作用；角色
play a role|发挥作用；有影响
winner|获胜者
prize|奖品；奖金
everybody|每人；人人
make up|编造
example|例子；榜样
for example|例如
poor|可怜的；贫穷的
seriously|严重地，严肃地
take…seriously|认真对待
give|给；赠予；送
crowded|拥挤的
sitcom|情景喜剧
news|新闻；消息
soap|肥皂；
soap opera|肥皂剧
educational|教育的；有教育意义的
plan|计划；方法打算；计划
hope|.希望；期望；盼望希望
find out|查明、弄清
discussion|讨论；谈论
stand|站立；忍受
happen|发生；碰巧；出现；偶遇
may|可以，能够；可能，也许
expect|预期；期待；盼望
joke|笑话；玩笑说笑话；开玩笑
comedy|喜剧；滑稽；幽默事件
meaningless|无意义的；不重要的
action|行为；活动
action movie|动作片
cartoon|卡通；漫画
culture|栽培；文化；教养
famous|著名的；有名的
appear|出现；出版；显得
become|变成；成为
rich|富有的；富饶的；丰富的
successful|成功的；圆满的
might|可能；也许；may的过去式
main|主要的；最重要的
reason|原因；理由
comedy|喜剧
film|电影
unlucky|倒霉的；不幸的；不吉利的
lose|丢失；失败失败
girlfriend|女朋友
ready|准备好的；乐意的
be ready to|愿意迅速做某事
character|个性；品质；人物；
simple|简单的；朴素的；单纯的；笨的
dress up|装扮；乔装打扮
take ’s place|代替；替换
army|军队；陆军；一大批
do a good job|工作干得好；做得好
grow up|长大 成长
computer programmer|计算机管理员
cook|烹调，煮，烧，做(饭)： 烹饪，做饭，烧菜；加热处理食物
doctor|医生
engineer|工程师
violinist|小提琴手
driver|驾驶员；驱动程序；起子；传动器
pilot|飞行员
pianist|钢琴家
scientist|科学家
be sure about|确信
make sure|确保
college|大学
education|教育
medicine|药，医学
university|大学，高等学府
London|伦敦
article|文章，论文
send|邮寄，发送
resolution|决心，决定
team|(一)队(人)；(一)组(人)
foreign|外国的
able|能够
be able to|能够做某事
question|问题
meaning|意义；； 意味深长的 意味；意思是
discuss|讨论，商量
promise|承诺，诺言
beginning|开头，开端
at the beginning of|起初
improve|改进，改善
write down|写下
physical|身体的
themselves|他们自己
have to do with|关于;与……有关系
selfimprovement|自我改进，自我提高
take up|学着做；开始做
hobby|业余爱好
weekly|每周的；； 周刊 每周一次；逐周
school work|学校作业
agree|同意；赞成；承认 同意；意见一致
agree with|同意
own|自己的，本人的，拥有
personal|个人的，私人的
relationship|关系
paper|纸
pollution|污染；污染物
