matter|重要，要紧，有关系
What’s the matter? |怎么了?出什么事了?
sore|疼痛的，酸痛的
have a cold |感冒
stomach|胃，腹部
stomachache|胃痛，腹痛
have a stomachache |胃痛
foot(复数feet)|脚
neck|颈，脖子
throat|喉咙
fever|发烧，发热
lie|躺，平躺
lie down |躺下
rest|剩余部分，其余;放松，休息
cough|咳嗽
X-ray|X光，X射线
toothache|牙痛
take one's temperature |量体温
headache|头痛
have a fever |发烧
break|休息，暂停;打破
take breaks|休息
take a break||休息
hurt|伤害，损害，使受伤
passenger|乘客，旅客
off|离开(某处);从…去掉
get off |下车
to one's surprise |使…惊讶，出乎…意料
onto|向，朝
trouble|麻烦，烦扰，问题
hit|碰撞，打，打击
right away |立即，马上
get into||陷入，参与
herself|她自己，她本身(she的反身代词)
bandage|绷带;用绷带包扎
sick|患病的，不适的
knee|膝盖
nosebleed|鼻出血
breathe|呼吸
sunburned|晒伤的
ourselves|我们自己(we的反身代词)
climber|登山者
be used to |习惯于…|适应于…
risk|风险，危险;冒险
take risks||冒险
take a risk ||冒险
accident|意外事件;事故
situation|状况，形式，情况
kilogram|公斤，千克
rock|岩石
run out|(of) |用尽，耗尽
knife|刀，餐刀
cut off |切除
blood|血
mean|意味着，意思是，意欲
get out of |离开，从…|出来
importance|重要性
decision|决心，决定，抉择
control|控制，支配，操纵
be in control of |掌管，管理
spirit|勇气，意志
death|死亡
give up |放弃
nurse|护士
clean up |打扫(清除)干净
cheer|欢呼
cheer up |变得更高兴，振奋起来
give out |分发，散发
volunteer|志愿者;义务做
come up with |想出，提出
put off|推迟
sign|标记，符号，标牌
notice|通知，公告;注意到
hand out |分发
call up |打电话给…某人，征召
used to |曾经…，过去…
lonely|孤独的，寂寞的
care for |照顾，非常喜欢
several|几个，数个，一些
strong|强壮的，强烈的
feeling|感觉，感触
satisfaction|满足，满意
joy|高兴，愉快
owner|所有者，物主
try out |参加…选拔，试用
journey|(尤指长途)旅行，行程
raise|抬起，举起，筹集，征集
alone|独自地，孤独地
repair|修理，修补
fix|修理，安装
fix up |修理，修补
give away |赠送，捐赠
take after |(外貌或行为)像
broken|破损的，残缺的
wheel|轮子，车轮;旋转
letter|信件，字母
Miss|小姐
set up |建立，设立
disabled|有残疾的，丧失能力的
make a difference|影响，有作用
blind|盲的，盲目的，失明的
deaf|聋的
imagine|想象，设想
difficulty|困难
open|打开
door|门
carry|携带，搬运
train|训练，培养
training|训练，培训
excited|激动的，兴奋的
kindness|仁慈，善良，亲切，善意
clever|聪明的，机灵的
understand|懂，理解
change|改变
interest|感兴趣;兴趣
sir|先生
madam|夫人，女士
rubbish|垃圾，废物
take out the rubbish|倒垃圾
fold|对折，折叠
mess|混乱，脏乱，食堂
throw|扔，投掷
all the time|频繁，反复
neither|二者都不;也不
shirt|运动衫，衬衫
as soon as|一…就…，尽快
pass|前行，经过，批准
borrow|借，借用
lend|借给，借出
finger|手指
hate|憎恶，讨厌
chore|杂务，乏味的工作
while |时候，而，然而
snack|小吃，点心，快餐
stress|精神压力，心理负担
waste|浪费，消耗
in order to|目的是，为了
provide|提供，供给，供应
anyway|无论如何,不管怎样，而且
depend|取决于，依靠，依赖
depend on|依靠于
develop|发展，壮大，开发，研制
independent |独立自主的，不受约束的
independence|独立
fair|公平的，公正的
unfair|不公平的，有偏见的
fairness|公正性，合理性
since|因为，既然
neighbor|邻居
take care of|照顾，处理
ill|生病的，有病的
drop|落下，跌落
allow|允许，准许
wrong|错误的
What's wrong?|哪儿不舒服?
midnight|午夜，子夜
look through|浏览，快速查看
guess|猜测，估计
deal|处理，应付
big deal|重要的事
work out|成功地发展，解决
get on with|和睦相处，关系良好
relation|关系，联系，交往
communicate|沟通,通信,通讯
communication|交流，沟通
argue|争论，争吵
cloud|云
elder|年级较长的
instead|代替
whatever|任何,不管什么,无论什么
nervous|紧张不安的
offer|提供，自愿给予
proper|合适的，适当的
secondly|第二，其次
explain|讲解，解释，说明
clear|清晰的，清楚易懂的
copy|复制
return|回来，返回，归还
anymore|不再，再也不
member|成员，会员
pressure|压力
compete|比赛，竞争
opinion|意见，想法，看法
skill|技能，技巧
typical|典型的
football|足球
cut out|删去，删除
quick|快的，迅速的
continue|继续，连续
compare|比较
compare…with|比较，对比
crazy|疯狂的，狂热的
development|发育，成长，发展
cause|原因;造成，使发生
usual|通常的，平常的
in one's opinion|依…|看
perhaps|可能，大概，也许
rainstorm|暴风雨
alarm|闹钟
go off|(闹钟)发出响声
begin|开始
